municipio,populacao_residente_por_grupos_de_idade_(%)_0_a_3_anos,populacao_residente_por_grupos_de_idade_(%)_4_a_6_anos,populacao_residente_por_grupos_de_idade_(%)_7_a_14_anos,populacao_residente_por_grupos_de_idade_(%)_15_a_17_anos,populacao_residente_por_grupos_de_idade_(%)_18_a_24_anos,populacao_residente_por_grupos_de_idade_(%)_25_a_59_anos,populacao_residente_por_grupos_de_idade_(%)_60_a_64_anos,populacao_residente_por_grupos_de_idade_(%)_65_anos_ou_mais
Sao Bento do Una,9.41558570057226,7.2118073794390085,19.402102651606587,7.535092032925957,12.493319181601873,34.056423492690314,2.9538928950287957,6.93177666613449
Sao Caitano,8.546198829035013,6.502622556279639,18.50290481550415,6.702347411030854,13.201320393027046,34.84971457003564,3.4635506876835476,8.231340737403801
Sao Joao,8.918467476611204,7.504355435739892,18.410501946906415,7.572937079231902,13.060332638893465,33.5394655761878,3.790928132523324,7.203011713905609
Sao Joaquim do Monte,9.302766143063833,7.284678886223313,17.942794622269336,6.672370260413415,13.268516924802132,34.287145918555176,3.6664219639384905,7.575305280734583
Sao Jose da Coroa Grande,9.832689664081643,7.576846712596204,19.209173808655613,8.327589959254823,14.190483191845715,33.27607186350248,2.8787811226296585,4.708363677433509
Sao Jose do Belmonte,8.250488633942513,7.075091210446188,19.9328556416521,6.532073313307503,14.664059632481555,33.912548970194116,2.991102467594035,6.641780130382162
Sao Jose do Egito,7.478111316842649,5.760720948395697,17.452086697774295,6.449133198027786,12.71402684053628,37.54581240629259,3.710402999859271,8.889705592271065
Sao Lourenco da Mata,7.87207639518781,5.8486715242918175,17.47988923451946,6.649043514476641,14.91021402423417,39.97477931899049,2.427607012998465,4.837718975300979
Sao Vicente Ferrer,8.807440989568658,8.421476269558264,19.26820845965457,7.995462057045706,13.011786131189787,32.76680829710896,2.506862047631893,7.221955748242101
Serra Talhada,7.8424405319415635,6.0776627502592095,18.070250959770828,7.013614450003804,13.958858474043756,37.17565433223923,3.0167555110659343,6.844762990675747
Serrita,9.287389126697658,7.163378843512012,20.74667712191299,7.384870905985738,13.211274320363554,32.694267744429325,2.7377594594006687,6.774382477697671
Sertania,7.671068117145148,5.759897421315899,18.18376013001005,7.356060845420785,12.506320202392072,36.63919871268402,3.43110983942762,8.452584731604668
Sirinhaem,9.731494515233821,6.808650094098892,19.960490868571178,7.845516580933539,15.670188799311886,33.48060279601145,2.4137948828256173,4.089261463013828
Solidao,8.377541761902199,6.997322830357794,21.7003342494168,7.937054340518085,13.08608376552402,32.393347794852865,3.407480156136951,6.100835101291053
