municipio,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_feminino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_feminino
Santa Cruz do Capibaribe,63.3294748184907,64.1310327610918,62.6528000644746,13.5032891275617,11.5251097400514,15.1732670284722
Santa Filomena,72.2542902790514,66.7599631493489,78.0160474153895,22.5828507327696,24.0699656137084,21.0233522581552
Santa Maria da Boa Vista,80.067458480239,78.3389770315111,81.7122287198513,6.07375860707721,5.97191564361976,6.17066926558154
Santa Maria do Cambuca,86.8137604534585,85.3197293819389,88.1778887647378,7.54105423809236,7.00402315777425,8.03139163111171
Santa Terezinha,74.5072527533098,79.5654396524015,69.2791308858394,19.6415553006546,14.7756687055061,24.6709163385583
Sao Benedito do Sul,63.6019444065386,65.0034022466418,62.5177799386856,8.6830248203365,8.65052260491755,8.70816845725185
Sao Bento do Una,80.7802595971485,77.7567215423426,83.5702744684015,11.2423898601487,10.205469157705,12.1992239160422
Sao Caitano,69.8086371974043,70.9388664465472,68.8125822206237,13.8684622536452,8.97001442101112,18.1853947218992
Sao Joao,88.4734211651022,82.8752185586889,93.3857974912907,1.69895141635503,2.8162967347498,0.718490172602983
Sao Joaquim do Monte,93.2367029461484,91.3966485280974,94.7637522326315,3.60461036053054,4.74074455564797,2.66173992420906
Sao Jose da Coroa Grande,58.5591884702023,66.070003779693,51.353803728231,7.61811080087153,3.46786200006682,11.5995879311793
Sao Jose do Belmonte,92.5744922059805,90.7326285170393,94.2228972476929,1.74603483805411,0.653168418772679,2.72411292617646
Sao Jose do Egito,81.4693735182189,87.8275455930516,75.9999439328858,9.2604239598508,5.65704556571894,12.3601237106685
Sao Lourenco da Mata,62.8740394041633,76.852548130561,50.8337659480853,13.2363181500591,4.91198232914984,20.4064163047143
Sao Vicente Ferrer,69.280501596165,66.6181363801874,71.7357939618896,15.3846244125784,13.0466450495315,17.5407609361708
Serra Talhada,75.936005870974,78.9454002691294,73.5727438927076,10.1443852118827,6.70820562279963,12.842799410551
Serrita,92.1526099803911,93.5206660359205,90.9288987152086,5.74735642064692,2.31202160765661,8.82022605441584
Sertania,89.6656341977491,90.5264694296032,88.9483189073757,3.93833023109107,3.51021029162459,4.29507327241796
Sirinhaem,69.2883931882436,78.7760956688432,58.2505338028242,11.0494181807573,6.65085740178317,16.1666418158591
Solidao,97.6220178099764,100,95.2169442377126,1.25934273189128,0,2.53303264243855
Surubim,71.1718374567054,69.8567413822196,72.2693033373222,11.7291813548722,7.68471751670848,15.1043424202032
Tabira,80.9488794762616,83.4246804537863,78.5970541064759,8.97633054419108,6.28394521956831,11.5338948109348
Tacaimbo,81.9383442243936,83.0814152298136,80.9566383804879,10.3765786847952,6.70759051229554,13.5276227696205
Tacaratu,91.1633809847913,88.9752247539317,92.945267166367,4.2888746203987,2.32220840548815,5.89039433946573
Tamandare,72.2122967992701,77.3188899118295,67.2988148449144,9.01538694890511,7.94612130172204,10.0442171975742
Taquaritinga do Norte,62.8022124888594,60.7580373882353,64.7346115644652,27.0010991034731,24.6417227598039,29.2314641363513
Terezinha,88.207424863953,84.6454793389082,90.9468720124169,3.00410212931298,1.54326216820407,4.12761562430719
Terra Nova,93.7489698043324,91.3459162314435,95.8452505803397,0.515840711618418,0,0.965829417424757
Timbauba,70.6560965152277,81.6912293706717,62.3560474951059,7.33635597251866,3.34233923440512,10.3404461948829
Toritama,27.2622302669412,25.8595795589198,28.4449531635928,49.4551069520903,49.5943101563194,49.3377300342395
Tracunhaem,67.4700123034912,79.2349236203228,55.5536214420601,9.27900981139957,0.861807466119954,17.8045881523605
Trindade,66.7103155075703,64.3164405556168,68.6935905486797,16.7073887689273,9.69543888516418,22.516641747087
Triunfo,89.080380888235,90.0675123094357,88.375446667917,2.39552420652969,1.91333733104361,2.73986541765729
Tupanatinga,82.2208943620438,79.7333751562188,84.4854287784209,9.53765944987404,8.42858846116599,10.5473117244187
Tuparetama,90.2622079800403,93.8448761032967,87.5543774217201,4.07671031224292,1.13294639120879,6.30164815957312
Venturosa,88.4730435589049,88.1748814092545,88.7302980303204,4.37917784233131,5.07111804942973,3.78217144015433
Verdejante,90.2681535659383,90.3731194598066,90.1746345699588,7.15180106956309,5.38789380818966,8.72334807407407
Vertente do Lerio,88.006161745639,88.2878678703198,87.7969585908049,4.66414803266932,3.08394247013816,5.8376546056714
Vertentes,83.0197356244677,80.7168465547055,84.9220291073459,8.48336221298259,5.99052347051834,10.5425629603923
Vicencia,74.4550017120668,82.1867619452876,67.2010468861049,7.85534326875083,5.10579796102689,10.4349728553574
Vitoria de Santo Antao,67.0768605173196,73.5215258487421,61.7693558172802,10.3631518549572,5.24814729858247,14.5756143068577
Xexeu,68.2085489901457,77.6194622549079,57.7336338367797,10.977847826467,4.37069333815659,18.3320100340157
