municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_feminino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_feminino"
Garanhuns,35.7284800310198,34.9460183456449,36.8880067364369,50.8966653741761,53.3038395973699,47.3294839408156
Gloria do Goita,14.4373673036093,14.2361612949848,14.7930505876341,61.2665005077079,68.5937274172568,48.3137455288707
Goiana,42.8694035188099,44.3255916184336,40.1556526488258,52.8536690030039,51.4323393655213,55.5024576734025
Granito,20.7041072925398,11.1392405063291,39.454094292804,55.3227158424141,59.1139240506329,47.8908188585608
Gravata,28.3867837134413,26.3256186220236,32.4127149557061,63.1302660020292,66.6844527446141,56.1881188118812
Iati,8.42592592592593,7.99340749896992,9.20177383592018,38.1084656084656,45.4470539761022,24.9445676274945
Ibimirim,18.7303016659163,15.7332093887985,24.1949152542373,46.8857871829506,51.220079014641,38.9830508474576
Ibirajuba,10.8993902439024,5.02117362371446,20.9062821833162,27.2103658536585,33.3333333333333,16.7868177136972
Igarassu,54.7815764482431,57.8622094248192,48.3506817182231,42.0180436847104,39.0125711075216,48.2920392904266
Iguaraci,16.0232558139535,10.1628664495114,30.650406504065,48.1860465116279,57.0684039087948,26.0162601626016
Ilha de Itamaraca,34.4675209898365,32.8155981493721,37.8,63.5439681838268,66.1269001982816,58.3333333333333
Inaja,17.7799135031235,12.3220973782772,27.5469168900804,37.0975492551658,40.6367041198502,30.7640750670241
Ingazeira,14.4761904761905,7.67575322812052,27.9036827195467,47.8571428571429,55.9540889526542,31.8696883852691
Ipojuca,55.7753421103833,57.9598289008741,50.7395498392283,41.9677021856152,39.9014320252929,46.7309753483387
Ipubi,15.8488927485888,12.2691572914456,23.5213830755232,63.8153133593863,69.6455105073233,51.319381255687
Itacuruba,41.9138755980861,32.0945945945946,54.7461368653422,51.7703349282297,61.8243243243243,38.6313465783664
Itaiba,7.15265530080345,5.27641707487754,11.5321790264619,47.246717617088,55.7452764170749,27.4093433518458
Itambe,43.3118823259021,44.5838084378563,40.2653140850566,49.5748103884165,49.4543085193028,49.8634412797503
Itapetim,14.1386073880353,10.8273748723187,20.0272479564033,37.0382477933965,38.8917262512768,33.7420526793824
Itapissuma,39.990375360924,42.992992992993,34.6291331546023,54.8604427333975,51.9269269269269,60.0983020554066
Itaquitinga,50.3634475597093,53.2710280373832,43.7553101104503,37.2014537902388,34.8785046728972,42.4808836023789
Jaboatao dos Guararapes,56.9678878530906,59.3333275417213,53.0863317557165,41.4586223462541,39.5381768584559,44.6099674972914
Jaqueira,73.3695652173913,72.7514990006662,74.6817538896747,23.1884057971014,22.8514323784144,23.9038189533239
Jatauba,9.2099519860323,7.67188744358906,11.0753380553767,62.9419467481449,61.0034510220335,65.2929813264649
Jatoba,41.8209408194234,41.9564209550301,41.5641476274165,39.2716236722307,36.532220676866,44.4639718804921
Joao Alfredo,15.3349127719147,15.5437665782493,15.0096392178463,48.2769760930433,52.6436781609195,41.4761773616084
Joaquim Nabuco,56.2628336755647,57.431906614786,52.6817640047676,40.393077148724,39.8054474708171,42.1930870083433
Jucati,6.84830633284242,4.54545454545455,10.7095926412615,50.8836524300442,61.128526645768,33.7056504599211
Jupi,11.408106219427,8.64234449760766,15.2941176470588,42.6974143955276,52.3325358851675,29.1596638655462
Jurema,10.198604401503,7.33093955715141,14.4637294170004,39.1841116478798,50.2692998204668,22.6969292389853
Lagoa do Carro,33.5697940503432,33.4824501032347,33.7431693989071,52.3798627002288,56.3317274604267,44.5355191256831
Lagoa do Itaenga,38.808756151366,37.9779317423659,40.4308617234469,46.0546410996097,49.3713112650757,39.5791583166333
Lagoa do Ouro,8.94428152492669,5.51274451689389,14.5052833813641,23.5520527859238,29.2234736218139,14.3611911623439
Lagoa dos Gatos,11.1945278611945,8.64197530864197,16.1975308641975,49.1324657991325,57.2184429327286,33.2839506172839
Lagoa Grande,26.6333938294011,23.9844819717024,31.8385650224215,52.6315789473684,56.8461889548152,44.3497757847534
Lajedo,14.512663085188,13.0811361609986,16.6827572890519,62.3637759017652,66.9978346707426,55.3388685074339
Limoeiro,35.9031434931321,34.3378913278158,38.2856360399836,51.7237635050763,55.1277437927312,46.5425167739285
Macaparana,34.5094936708861,34.7989949748744,34.017094017094,52.2784810126582,52.1859296482412,52.4358974358974
Machados,19.5310265942236,16.8444444444444,24.3785084202085,56.1052330569059,63.2888888888889,43.1435445068164
Manari,3.672532517215,1.85873605947955,6.13940050559769,7.85003825554705,11.2055231014339,3.28638497652582
Maraial,45.6568778979907,42.7272727272727,56.1702127659575,52.0247295208655,55.296442687747,40.2836879432624
Mirandiba,18.3218390804598,11.1503175723359,31.7282321899736,52.6896551724138,61.0091743119266,37.1372031662269
Moreilandia,17.4264904235231,8.95522388059701,34.5276872964169,43.8090099811168,55.1835417507059,20.8469055374593
Moreno,54.6541820756944,57.10407239819,49.0566037735849,42.7334959477536,40.2149321266968,48.4879813905402
Nazare da Mata,63.0103759601132,65.5785729232057,58.3648750946253,35.3456407492252,32.726511822557,40.0832702498107
Olinda,58.2303193299094,59.2891325030886,56.8241395568128,40.1219966625083,39.5166214623479,40.9259783121169
Orobo,15.5804718523709,12.8327373857767,19.5011337868481,30.9156739079654,39.0147000397298,19.359410430839
Oroco,13.6486819413649,8.03470388532629,24.21875,69.6476964769648,80.4602036967182,49.2897727272727
Ouricuri,18.543407192154,14.8134700916765,26.0134520996182,55.7028695968035,60.3067985840065,46.4824577349573
Palmares,46.2628507918866,45.638091125027,47.3899493572263,51.6323978883023,52.5804361908875,49.9220880405142
Palmeirina,21.928277483833,15.585627624825,32.724384432089,53.0570252792475,60.9426038264116,39.6346306592534
Panelas,11.8773601870167,8.19868342309994,17.4177557458315,36.863873404064,45.6463195691203,23.6367733213159
Paranatama,7.94372294372294,4.9982400563182,12.6475548060708,52.7272727272727,65.9978880675818,31.5345699831366
Parnamirim,16.7155931618028,12.7956186208613,25.5918827508455,65.5154550164048,72.168284789644,50.4509582863585
Passira,21.9064989920323,23.0818516738747,20.1485385721131,41.7874628011904,43.1042767900048,39.8179204599904
Paudalho,49.4874338624339,51.3235117978201,45.3963170536429,46.8998015873016,45.4904779015451,50.0400320256205
Paulista,60.182121120959,61.7269184767931,57.8668902509541,38.3657695600861,37.0384659902002,40.3550364288192
Pedra,11.0469692993965,6.84558537534033,19.758064516129,59.3282602991341,67.9696616102684,41.4112903225807
Pesqueira,22.7546562428144,20.2157820129154,26.3181165027081,52.3246723384686,53.2682312175146,51.0003316016359
Petrolandia,26.1857269503546,21.1848893326677,36.1525704809287,54.7207446808511,63.0720585787985,38.0762852404643
Petrolina,43.2826819451182,42.4334823106804,44.7148744320383,51.4808647883261,53.0637817969174,48.8112429995421
Pocao,10.0126143172501,9.95685363425158,10.0630820066086,50.0157678965626,37.1722535678726,61.6401321718234
Pombos,21.4681440443213,20.3015616585891,23.5693501454898,53.820406278855,63.1304972177347,37.0514064015519
Primavera,38.4002655160969,36.2652232746955,44.3467336683417,51.2114171921673,55.0744248985115,40.4522613065327
Quipapa,26.8305814788227,22.136261542301,38.8498402555911,57.6992103374013,63.6386323933117,42.4920127795527
Quixaba,14.5572025845686,11.2731351654515,21.4622641509434,7.63968072976055,7.85193494111049,7.19339622641509
Recife,60.3754276248076,61.0864532748508,59.4587559465039,37.9603399433428,37.5945555497537,38.4319181402029
Riacho das Almas,13.2991556091677,9.95239174790297,19.945970283656,59.6803377563329,66.1754704148719,46.7807294011706
Ribeirao,48.4394000810701,49.8558662438743,45.0853242320819,46.4329144710174,45.1282790429519,49.5221843003413
Rio Formoso,52.9317909852413,51.4316880283611,57.0155902004454,38.7514958117272,40.0327242977911,35.2635486265776
Saire,13.0510778791998,9.45907674879637,20.8899876390606,65.2942318896873,72.415746247522,49.7527812113721
Salgadinho,12.8101945003353,10.6763555058692,16.0100586756077,42.99128101945,49.5248742314142,33.1936295054484
Salgueiro,35.0982961992136,30.665401244332,42.3749350874156,54.1218872870249,57.3025413898555,48.9008135710577
Saloa,9.60038210476039,5.60140035008752,16.6082383873795,36.1248208883936,46.6116529132283,17.7475898334794
Sanharo,17.7218891650826,15.7732447817837,20.8539839878002,56.265535897061,62.7371916508539,45.8635150590926
Santa Cruz,16.6982203710716,11.9884726224784,25.7174392935982,41.8023475956077,48.5302593659942,28.9183222958057
Santa Cruz da Baixa Verde,12.7664788042147,7.11914422722243,23.9416058394161,53.5407988238177,63.9247510143858,32.992700729927
Santa Cruz do Capibaribe,11.4801187709786,11.5825201527365,11.3634794615119,80.6642137877614,83.3808109582399,77.5698998964446
Santa Filomena,9.8546511627907,6.55945831570038,17.0844939647168,39.8546511627907,45.1121455776555,28.3194057567317
Santa Maria da Boa Vista,13.2528530905733,11.6403224118078,16.0007135212273,54.0339072498186,61.111692661991,41.9728861933643
Santa Maria do Cambuca,7.93354101765317,4.31427569273939,13.1873727087576,24.9844236760125,29.3581199579095,18.6354378818737
Santa Terezinha,16.7372353673724,14.6294881588999,20.6871868289191,38.2316313823163,36.7456073338426,41.0164638511095
Sao Benedito do Sul,32.6311263972485,26.0668973471742,51.8581081081081,55.4600171969046,61.9953863898501,36.3175675675676
Sao Bento do Una,17.5548991909593,14.0832851359167,24.4807692307692,56.4337999229485,63.7169847696164,41.9038461538462
Sao Caitano,23.4299112376486,22.0807897129497,25.8779165684657,45.771227600067,50.3831666450188,37.4027810511431
Sao Joao,9.33687643435198,7.34883720930233,13.0165289256198,61.746587752144,73.1348837209302,40.668044077135
Sao Joaquim do Monte,10.9953100573215,9.05005107252298,14.4192736425746,47.2642001042209,55.5056179775281,32.7580007191658
Sao Jose da Coroa Grande,42.6432291666667,39.1200382592061,50.1529051987768,53.8736979166667,56.7192730750837,47.8083588175331
Sao Jose do Belmonte,18.5071887427348,12.1565113500597,32.1761491481839,58.0095849903131,68.7724014336918,34.8441015750562
Sao Jose do Egito,18.2401300930527,15.9405654933641,22.0933043268069,45.4602945162165,50.201961915753,37.515107565869
Sao Lourenco da Mata,51.7038687617657,56.194797338173,43.8888304032003,43.7281493718545,40.4174228675136,49.4894199389409
Sao Vicente Ferrer,24.3121335137573,23.5889070146819,25.9313367421476,67.1853856562923,70.4404567699837,59.8977355734113
Serra Talhada,26.9008605446186,23.0857487922705,34.0083248959388,55.0630673110928,58.5809178743961,48.5093936325796
Serrita,14.8891063274625,9.73817179604961,27.5028121484814,57.5831702544031,65.2044097381718,38.9201349831271
Sertania,26.3464337700146,22.9827983685051,33.6276391554702,51.6739446870451,53.7861322929597,47.1017274472169
Sirinhaem,59.2511013215859,61.2154500354359,53.9054966248795,39.2329619072298,37.31396172927,44.4551591128255
Solidao,15.112540192926,5.890603085554,32.6231691078562,13.7804317868627,15.6381486676017,10.2529960053262
Surubim,24.4400491794515,21.4771622934888,28.9794260963725,49.542951836211,56.9484936831876,38.1970763400108
Tabira,13.3621577105209,9.24864692773002,20.8916083916084,45.3675108091415,47.1665074816937,42.0745920745921
Tacaimbo,13.3817009270455,11.697247706422,16.0732984293194,38.7545344619105,47.0511140235911,25.4973821989529
Tacaratu,12.1981812480401,8.76220638690948,17.2267284665894,47.3816243336469,43.1776194246503,53.5341830822711
Tamandare,31.9006685768863,30.8006814310051,34.4772545889864,54.1547277936963,52.6405451448041,57.7015163607342
Taquaritinga do Norte,21.2732717094128,19.7072318112301,23.5824742268041,71.9307381851321,74.1533755735198,68.6533505154639
Terezinha,10.5263157894737,6.05427974947808,19.8263386396527,32.0018796992481,36.1864996520529,23.2995658465991
Terra Nova,12.6070268674343,5.92286501377411,24.6484698097601,58.6950103336286,67.4471992653811,42.9280397022333
Timbauba,37.2506799637353,38.8685175484547,34.2589602841459,48.9063916591115,48.515802339794,49.628672909267
Toritama,10.8326046827941,9.74132285527178,12.4253285543608,86.4373846303313,88.7524557956778,83.0585424133811
Tracunhaem,47.3507148864592,50.2921535893155,41.33219470538,46.0891505466779,42.6544240400668,53.1169940222032
Trindade,27.2491349480969,24.3036359770359,33.4527541424093,62.4711649365629,67.8077822666383,51.2315270935961
Triunfo,21.9389587073609,17.8394160583942,28.4848484848485,47.4326750448833,54.4817518248175,36.1771561771562
Tupanatinga,10.1511879049676,7.38023305999137,14.7801009372747,35.6506479481641,41.9723780750971,25.0901225666907
Tuparetama,28.0167014613779,24.641638225256,33.3333333333333,36.7432150313152,38.1569965870307,34.5161290322581
Venturosa,17.4060660932549,9.13671481357071,34.4899375433727,68.7188773200543,78.0315754114881,49.4795281054823
Verdejante,18.9873417721519,12.7228027043639,32.7052489905787,53.3755274261603,52.8580208973571,54.5087483176312
Vertente do Lerio,13.2677298948083,12.8259712613092,14.0449438202247,21.5812690872073,28.1000532197978,10.1123595505618
Vertentes,14.2369477911647,11.7819843342037,18.1628392484342,68.5943775100402,75.097911227154,58.1941544885177
Vicencia,44.3630443630444,44.019775622742,45.217803030303,50.1967168633835,50.2757178170755,50
Vitoria de Santo Antao,34.1234884279651,32.8905755850727,36.6872174270448,58.9866794799925,61.7923782416192,53.1524866420058
Xexeu,44.0981432360743,44.8011499760422,42.518837459634,52.0557029177719,51.2218495448011,53.9289558665231
