municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_ate_14_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_15_a_29_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_30_a_39_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_40_a_44_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_45_a_48_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_49_horas_ou_mais",codigo
Pombos,8669.0,455.0,1598.0,1002.0,1883.0,719.0,3012.0,2611309.0
Primavera,3017.0,146.0,283.0,334.0,900.0,591.0,762.0,2611408.0
Quipapa,5578.0,194.0,806.0,559.0,2166.0,700.0,1154.0,2611507.0
Quixaba,2635.0,107.0,788.0,469.0,666.0,289.0,316.0,2611533.0
Recife,510090.0,16604.0,44419.0,60997.0,154558.0,85760.0,147752.0,2611606.0
Riacho das Almas,6637.0,354.0,1075.0,1145.0,1473.0,808.0,1781.0,2611705.0
Ribeirao,9873.0,402.0,1012.0,1074.0,2974.0,1792.0,2619.0,2611804.0
Rio Formoso,5020.0,109.0,482.0,720.0,1519.0,575.0,1615.0,2611903.0
Saire,5153.0,255.0,1238.0,516.0,1704.0,509.0,929.0,2612000.0
Salgadinho,2987.0,128.0,583.0,644.0,747.0,219.0,666.0,2612109.0
Salgueiro,15264.0,604.0,1649.0,1757.0,3801.0,3147.0,4306.0,2612208.0
Saloa,6287.0,672.0,1996.0,934.0,1533.0,527.0,626.0,2612307.0
Sanharo,6844.0,354.0,1680.0,1175.0,1253.0,1007.0,1376.0,2612406.0
Santa Cruz,2646.0,104.0,381.0,685.0,925.0,134.0,418.0,2612455.0
Santa Cruz da Baixa Verde,4086.0,187.0,1023.0,558.0,1080.0,320.0,918.0,2612471.0
Santa Cruz do Capibaribe,30988.0,714.0,3004.0,2349.0,11698.0,7817.0,5406.0,2612505.0
Santa Filomena,3445.0,56.0,785.0,517.0,1222.0,450.0,415.0,2612554.0
Santa Maria da Boa Vista,15164.0,621.0,2647.0,1985.0,3963.0,2235.0,3713.0,2612604.0
Santa Maria do Cambuca,4819.0,319.0,1185.0,823.0,915.0,1084.0,491.0,2612703.0
Santa Terezinha,4021.0,521.0,989.0,577.0,1136.0,418.0,378.0,2612802.0
Sao Benedito do Sul,2330.0,25.0,350.0,495.0,941.0,352.0,166.0,2612901.0
Sao Bento do Una,15578.0,637.0,2686.0,2447.0,3942.0,2064.0,3803.0,2613008.0
Sao Caitano,11946.0,641.0,1710.0,1327.0,3405.0,1942.0,2920.0,2613107.0
Sao Joao,8286.0,331.0,1782.0,1250.0,2955.0,1275.0,693.0,2613206.0
Sao Joaquim do Monte,7680.0,594.0,1762.0,1075.0,2392.0,837.0,1020.0,2613305.0
Sao Jose da Coroa Grande,3078.0,236.0,385.0,457.0,500.0,352.0,1148.0,2613404.0
Sao Jose do Belmonte,9812.0,506.0,2112.0,1774.0,2812.0,1225.0,1384.0,2613503.0
Sao Jose do Egito,11074.0,579.0,1698.0,1311.0,3066.0,2039.0,2380.0,2613602.0
Sao Lourenco da Mata,26034.0,1242.0,2838.0,2815.0,4833.0,4855.0,9451.0,2613701.0
Sao Vicente Ferrer,4439.0,377.0,889.0,583.0,1166.0,394.0,1029.0,2613800.0
Serra Talhada,25455.0,1061.0,3685.0,3018.0,5794.0,4791.0,7106.0,2613909.0
Serrita,6138.0,236.0,1227.0,639.0,2339.0,703.0,994.0,2614006.0
Sertania,8249.0,235.0,918.0,1148.0,2347.0,1134.0,2467.0,2614105.0
Sirinhaem,7724.0,283.0,557.0,748.0,1317.0,1785.0,3034.0,2614204.0
Solidao,2182.0,108.0,863.0,416.0,517.0,115.0,163.0,2614402.0
Surubim,18713.0,778.0,3299.0,2375.0,4553.0,2949.0,4758.0,2614501.0
Tabira,9719.0,235.0,1708.0,1112.0,2346.0,2365.0,1953.0,2614600.0
Tacaimbo,4968.0,110.0,554.0,453.0,2098.0,320.0,1433.0,2614709.0
Tacaratu,6383.0,308.0,1315.0,779.0,2352.0,521.0,1108.0,2614808.0
Tamandare,4193.0,431.0,510.0,435.0,1054.0,531.0,1231.0,2614857.0
Taquaritinga do Norte,7687.0,84.0,522.0,1062.0,3034.0,1215.0,1770.0,2615003.0
Terezinha,2134.0,108.0,721.0,297.0,822.0,44.0,141.0,2615102.0
Terra Nova,3393.0,229.0,817.0,405.0,715.0,655.0,573.0,2615201.0
Timbauba,17651.0,1040.0,2178.0,1539.0,3988.0,2864.0,6042.0,2615300.0
Toritama,10296.0,486.0,737.0,636.0,2937.0,3197.0,2304.0,2615409.0
Tracunhaem,3571.0,123.0,295.0,435.0,636.0,433.0,1649.0,2615508.0
Trindade,6941.0,184.0,974.0,1006.0,1132.0,763.0,2881.0,2615607.0
Triunfo,5575.0,380.0,1052.0,693.0,1472.0,840.0,1138.0,2615706.0
Tupanatinga,7414.0,385.0,1592.0,1150.0,2077.0,904.0,1306.0,2615805.0
Tuparetama,2398.0,99.0,401.0,331.0,725.0,249.0,594.0,2615904.0
Venturosa,4422.0,124.0,666.0,505.0,725.0,733.0,1667.0,2616001.0
Verdejante,2374.0,197.0,601.0,339.0,658.0,161.0,419.0,2616100.0
Vertente do Lerio,2952.0,161.0,990.0,406.0,804.0,295.0,296.0,2616183.0
Vertentes,4984.0,70.0,697.0,532.0,1782.0,531.0,1373.0,2616209.0
Vicencia,7375.0,263.0,1188.0,954.0,2117.0,928.0,1925.0,2616308.0
Vitoria de Santo Antao,37466.0,1256.0,3923.0,3543.0,7080.0,6774.0,14889.0,2616407.0
Xexeu,3021.0,73.0,448.0,495.0,478.0,395.0,1131.0,2616506.0
