 Mortalidade - Brasil,,,,,,,,,,,,,,,,,,,,,
�bitos p/Ocorr�nc por Munic�pio e Ano do �bito,,,,,,,,,,,,,,,,,,,,,
Categoria CID-10: X93   Agressao disparo de arma de fogo de mao, X94   Agressao disparo arma fogo de maior calibre, X95   Agressao disparo outr arma de fogo ou NE,,,,,,,,,,,,,,,,,,,
Per�odo:1996-2015,,,,,,,,,,,,,,,,,,,,,
Munic�pio,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
261010 Palmeirina,-,2,-,-,1,2,1,-,-,1,1,2,2,-,2,-,3,-,2,2,21
261020 Panelas,2,2,2,-,-,7,3,1,2,5,5,1,1,3,5,1,3,6,-,3,52
261030 Paranatama,1,1,1,2,-,2,-,3,-,1,2,2,-,1,-,-,-,4,1,4,25
261040 Parnamirim,5,3,5,3,5,3,1,3,-,2,-,3,1,4,3,3,5,5,3,10,67
261050 Passira,3,4,5,3,2,4,1,2,6,1,3,3,2,5,4,3,3,-,4,6,64
261060 Paudalho,9,19,18,13,13,31,14,10,6,9,1,10,9,12,6,7,10,14,22,29,262
261070 Paulista,47,76,104,86,113,152,116,147,132,118,141,162,122,113,114,117,111,80,119,114,2284
261080 Pedra,-,1,1,3,4,6,5,1,5,1,2,6,4,6,2,-,5,1,7,2,62
261090 Pesqueira,17,9,14,13,6,16,18,14,21,15,15,22,16,18,24,19,13,9,18,20,317
261100 Petrol�ndia,15,6,9,12,16,17,19,16,7,8,12,9,13,7,6,4,4,3,3,8,194
261110 Petrolina,108,82,96,92,111,113,131,99,78,97,92,115,101,66,55,61,53,86,80,115,1831
261120 Po��o,5,3,1,5,4,4,-,3,1,3,4,1,1,3,2,1,2,-,3,5,51
261130 Pombos,3,3,5,7,8,5,9,11,8,14,7,7,10,10,6,7,6,11,7,6,150
261140 Primavera,2,3,3,4,3,7,-,3,-,2,1,4,5,3,5,4,3,2,1,2,57
261150 Quipap�,3,-,2,3,5,4,10,6,10,6,9,6,3,9,11,5,9,14,4,9,128
261153 Quixaba,-,1,-,1,3,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,7
261160 Recife,884,1240,1369,1251,1227,1230,1159,1166,1147,1128,1166,1144,1078,937,726,708,615,510,560,614,19859
261170 Riacho das Almas,2,-,1,6,2,-,-,1,1,1,3,3,5,5,1,3,-,1,-,6,41
261180 Ribeir�o,13,19,15,38,25,25,29,31,15,20,12,34,10,9,6,8,4,11,12,21,357
261190 Rio Formoso,4,1,2,2,4,2,9,16,7,10,12,23,9,-,4,9,6,11,16,13,160
261200 Sair�,2,1,2,5,-,6,1,1,-,1,5,5,1,-,1,1,3,2,3,2,42
261210 Salgadinho,-,-,1,1,1,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,6
261220 Salgueiro,10,24,23,13,13,3,9,6,8,3,10,13,7,8,-,11,3,9,3,15,191
261230 Salo�,1,4,1,3,2,4,6,3,3,3,1,3,8,6,3,1,3,4,2,5,66
261240 Sanhar�,2,2,3,3,7,4,2,6,3,1,3,-,2,-,-,2,-,2,2,2,46
261245 Santa Cruz,1,-,-,2,2,-,-,4,-,-,-,-,1,2,6,1,-,1,1,2,23
261247 Santa Cruz da Baixa Verde,3,2,3,-,1,5,3,1,-,1,2,1,1,-,3,2,-,1,1,4,34
261250 Santa Cruz do Capibaribe,14,11,15,21,29,37,53,30,19,15,16,6,21,21,31,23,29,36,29,38,494
261255 Santa Filomena,-,1,-,2,1,-,1,1,-,1,-,-,1,2,3,3,-,-,1,2,19
261260 Santa Maria da Boa Vista,19,15,8,17,14,14,22,15,16,19,26,16,11,8,5,8,5,11,10,10,269
261270 Santa Maria do Cambuc�,2,-,2,5,2,4,1,-,-,1,5,1,2,5,6,2,6,7,-,-,51
261280 Santa Terezinha,1,1,-,1,-,-,1,-,-,-,-,3,-,2,2,-,1,1,3,-,16
261290 S�o Benedito do Sul,-,-,1,-,-,1,1,2,1,1,7,4,1,1,2,-,3,1,2,2,30
261300 S�o Bento do Una,7,8,10,5,13,4,10,23,13,8,14,6,9,9,2,6,10,11,12,21,201
261310 S�o Caitano,1,1,5,21,9,1,9,6,6,7,8,6,15,6,5,9,4,2,9,16,146
261320 S�o Jo�o,1,1,6,3,1,3,7,-,1,-,6,2,11,1,3,3,3,4,11,9,76
261330 S�o Joaquim do Monte,6,4,7,7,1,7,11,5,3,4,4,3,4,10,8,1,6,2,7,5,105
261340 S�o Jos� da Coroa Grande,-,2,1,3,6,4,1,2,3,2,3,3,2,3,6,8,5,8,6,16,84
261350 S�o Jos� do Belmonte,5,7,10,6,6,14,5,4,3,8,5,8,9,11,5,7,3,3,6,4,129
261360 S�o Jos� do Egito,2,5,3,-,2,1,4,5,3,3,2,4,2,4,-,4,-,-,4,3,51
261370 S�o Louren�o da Mata,31,45,92,99,71,78,51,42,23,26,36,51,21,17,20,16,28,31,24,35,837
261380 S�o Vicente Ferrer,2,1,1,2,3,1,4,1,-,1,-,2,4,-,1,3,4,4,1,-,35
261390 Serra Talhada,39,59,47,37,23,24,27,20,11,19,24,22,22,20,25,11,13,10,26,21,500
261400 Serrita,1,-,-,-,1,1,5,1,-,2,1,1,1,-,1,4,2,1,1,1,24
261410 Sert�nia,6,5,5,7,4,5,7,5,5,2,8,9,3,4,6,4,3,6,-,2,96
261420 Sirinha�m,10,3,11,13,15,12,13,13,10,8,9,15,7,7,3,11,6,11,24,12,213
261440 Solid�o,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
261450 Surubim,16,9,10,8,7,6,10,14,13,4,8,18,21,8,9,12,6,9,10,11,209
261460 Tabira,2,3,2,-,3,1,1,1,1,1,2,3,-,-,5,3,4,1,2,2,37
261470 Tacaimb�,1,1,-,1,-,4,2,2,6,3,6,-,-,3,-,2,6,4,-,9,50
261480 Tacaratu,1,1,4,1,4,2,3,5,2,-,1,-,-,-,1,2,-,2,1,1,31
261485 Tamandar�,-,1,1,12,6,3,9,6,4,9,9,1,7,6,7,4,5,5,7,6,108
261500 Taquaritinga do Norte,4,3,6,6,8,7,5,3,1,2,4,1,3,2,2,1,-,3,1,8,70
261510 Terezinha,3,1,-,1,1,-,-,1,-,1,-,2,1,1,-,2,6,1,1,1,23
261520 Terra Nova,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,2,-,1,1,7
261530 Timba�ba,12,12,14,15,11,7,12,14,29,25,13,16,14,12,11,10,11,17,13,10,278
261540 Toritama,6,10,11,6,7,7,10,8,6,5,9,8,11,21,22,6,19,21,2,23,218
261550 Tracunha�m,-,-,1,1,3,2,10,-,-,1,1,6,2,6,2,3,1,-,1,3,43
261560 Trindade,5,2,4,1,5,9,13,14,10,7,13,16,14,11,5,10,3,17,14,28,201
261570 Triunfo,3,6,6,6,1,3,3,2,6,2,4,1,2,1,-,-,-,-,2,4,52
261580 Tupanatinga,4,4,5,6,3,4,6,2,5,3,8,8,6,5,3,5,11,6,2,2,98
261590 Tuparetama,1,-,-,-,2,2,-,-,2,2,1,-,1,-,-,-,-,1,1,-,13
261600 Venturosa,2,-,1,2,-,1,1,6,4,4,5,3,1,4,1,5,6,1,2,2,51
261610 Verdejante,-,-,-,3,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,3,10
261618 Vertente do L�rio,-,-,-,-,4,-,1,1,4,-,2,2,5,3,1,1,-,2,-,-,26
261620 Vertentes,3,2,2,1,-,4,-,2,3,1,2,3,3,3,4,2,3,8,9,22,77
261630 Vic�ncia,4,6,-,1,1,9,9,12,-,1,4,5,2,4,4,5,7,1,10,15,100
261640 Vit�ria de Santo Ant�o,31,25,41,69,43,60,66,47,57,52,58,62,70,55,52,47,50,56,39,50,1030
261650 Xex�u,-,2,4,3,3,8,1,3,4,5,6,1,3,8,4,4,6,3,4,4,76
260000 Munic�pio ignorado - PE,1,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22
270010 �gua Branca,-,3,1,3,2,2,5,-,2,4,2,2,1,6,1,4,2,2,1,4,47
270020 Anadia,-,2,-,-,3,-,3,1,-,-,3,7,5,5,3,2,6,6,10,6,62
270030 Arapiraca,40,47,39,36,42,53,65,50,64,86,105,164,154,197,181,198,175,175,188,155,2214
270040 Atalaia,7,5,4,-,2,3,9,11,4,9,9,17,9,13,17,18,25,26,25,19,232
270050 Barra de Santo Ant�nio,3,3,1,-,-,1,2,-,-,3,1,6,4,6,2,1,6,5,4,10,58
270060 Barra de S�o Miguel,1,5,2,1,-,-,-,-,2,2,2,2,4,4,2,7,3,4,5,2,48
270070 Batalha,2,1,3,-,3,2,-,3,2,1,1,2,1,3,5,4,2,3,8,3,49
270080 Bel�m,-,1,-,-,-,-,1,-,-,-,-,1,-,3,3,1,-,1,1,-,12
270090 Belo Monte,-,-,-,-,2,1,-,-,1,-,1,1,-,1,2,-,-,3,1,-,13
270100 Boca da Mata,-,3,-,2,4,-,2,6,2,-,5,8,4,8,11,13,11,13,9,9,110
270110 Branquinha,1,2,2,1,2,2,1,1,1,1,2,4,2,9,4,5,6,3,7,5,61
270120 Cacimbinhas,-,3,-,2,2,-,2,-,-,-,3,3,-,2,5,4,1,5,3,2,37
270130 Cajueiro,2,5,2,-,2,3,3,1,-,2,6,10,2,7,11,3,11,12,11,10,103
270135 Campestre,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,3,1,1,8
270140 Campo Alegre,9,6,4,6,3,3,6,1,4,4,7,6,4,9,9,10,11,17,15,14,148
270150 Campo Grande,3,-,1,1,1,1,-,-,1,-,2,1,2,1,-,3,2,2,3,3,27
270160 Canapi,-,2,2,2,2,1,1,5,3,10,1,3,2,6,4,5,8,-,8,6,71
270170 Capela,1,2,2,1,1,1,-,-,1,3,-,2,-,5,8,2,8,10,12,7,66
270180 Carneiros,-,-,-,2,-,2,-,-,-,-,2,-,1,3,2,-,2,1,2,-,17
270190 Ch� Preta,-,2,-,-,-,-,2,1,2,-,1,3,-,-,-,-,-,1,1,2,15
270200 Coit� do N�ia,1,1,2,1,-,-,1,-,-,-,-,-,2,5,-,2,2,4,2,3,26
270210 Col�nia Leopoldina,2,-,1,2,1,-,-,4,2,-,3,6,8,2,7,7,6,4,9,6,70
270220 Coqueiro Seco,1,-,-,-,-,-,-,2,-,1,1,3,-,-,4,2,-,4,1,4,23
270230 Coruripe,10,4,2,5,3,4,6,12,6,5,7,25,8,25,21,39,44,25,41,29,321
270235 Cra�bas,3,4,5,1,-,1,2,3,3,2,4,7,4,4,2,7,3,8,9,7,79
270240 Delmiro Gouveia,2,8,1,3,5,-,2,5,14,17,14,12,16,9,18,12,23,13,12,14,200
270250 Dois Riachos,-,1,1,3,2,-,3,5,1,4,3,5,2,4,1,2,6,4,4,6,57
270255 Estrela de Alagoas,-,2,1,-,2,1,1,3,-,3,3,3,6,2,3,4,3,5,4,3,49
270260 Feira Grande,-,-,1,2,2,4,-,2,1,3,6,4,3,6,7,7,6,4,8,10,76
270270 Feliz Deserto,-,-,-,1,-,1,-,-,-,1,-,1,-,-,6,-,2,-,4,2,18
270280 Flexeiras,6,5,-,-,2,-,2,2,2,3,4,2,7,3,4,6,1,9,5,9,72
270290 Girau do Ponciano,1,2,2,1,1,2,2,3,2,-,-,2,3,3,6,20,1,6,6,15,78
270300 Ibateguara,1,3,1,-,-,2,2,3,1,2,5,5,1,3,5,3,7,8,6,5,63
270310 Igaci,3,1,-,1,5,2,3,-,6,4,2,13,4,4,11,4,3,7,7,12,92
270320 Igreja Nova,2,-,1,5,4,2,3,4,1,-,5,2,4,4,4,7,2,7,3,3,63
270330 Inhapi,-,-,-,1,3,2,-,1,5,1,3,3,4,3,6,3,8,5,8,2,58
270340 Jacar� dos Homens,-,-,1,-,-,-,-,1,-,4,-,1,-,2,2,1,-,2,1,1,16
270350 Jacu�pe,1,1,1,-,1,1,-,-,-,2,-,-,1,2,1,2,-,-,-,1,14
270360 Japaratinga,-,4,1,3,2,-,-,1,-,2,2,1,-,4,-,2,-,5,1,1,29
270370 Jaramataia,1,-,-,1,-,-,2,1,1,1,4,-,-,3,1,-,4,3,5,-,27
270375 Jequi� da Praia,-,-,-,-,-,-,-,1,1,-,-,-,-,2,-,3,-,-,3,-,10
270380 Joaquim Gomes,2,-,2,-,2,2,3,2,4,5,15,4,10,10,11,12,14,21,9,16,144
270390 Jundi�,3,-,-,1,1,3,-,1,1,-,-,-,3,-,-,1,1,-,2,1,18
270400 Junqueiro,2,-,2,3,1,1,2,6,7,5,2,9,8,9,8,4,4,10,13,9,105
270410 Lagoa da Canoa,-,-,2,1,2,1,3,1,2,-,3,2,3,5,3,9,10,4,7,6,64
270420 Limoeiro de Anadia,5,2,1,2,3,1,4,-,2,3,3,3,7,4,4,3,2,12,5,9,75
270430 Macei�,251,216,198,184,249,361,394,408,442,511,775,818,898,759,878,902,761,811,713,551,11080
270440 Major Isidoro,2,3,-,1,2,-,3,2,2,3,4,6,3,5,3,2,9,8,10,12,80
270490 Mar Vermelho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2
270450 Maragogi,3,4,1,3,3,6,2,5,7,3,5,5,4,7,8,6,3,10,13,10,108
270460 Maravilha,1,-,1,2,-,-,-,1,-,2,1,2,-,2,4,5,1,2,1,1,26
270470 Marechal Deodoro,4,5,4,4,6,7,13,7,13,7,11,22,31,30,27,41,40,49,37,19,377
270480 Maribondo,1,1,3,4,-,1,2,-,1,1,5,3,4,2,1,7,7,5,10,7,65
270500 Mata Grande,-,1,3,3,7,5,-,2,1,7,2,4,1,6,4,6,9,6,2,4,73
270510 Matriz de Camaragibe,3,1,3,-,-,3,2,6,1,4,2,3,8,6,-,4,9,10,11,19,95
270520 Messias,3,6,1,2,1,1,-,2,3,7,5,12,6,14,10,16,8,7,11,7,122
270530 Minador do Negr�o,-,-,1,-,1,-,1,-,2,-,-,-,-,-,1,2,-,-,-,-,8
270540 Monteir�polis,1,-,-,-,-,-,2,-,-,1,-,2,3,1,3,1,1,1,2,2,20
270550 Murici,5,5,3,-,4,5,4,4,3,5,9,11,12,3,5,20,20,38,26,22,204
270560 Novo Lino,1,1,1,1,1,3,2,1,2,1,1,2,4,-,-,1,-,-,3,5,30
270570 Olho d'�gua das Flores,2,1,-,1,4,6,1,2,2,5,5,5,7,2,6,14,9,8,13,4,97
270580 Olho d'�gua do Casado,-,-,1,-,1,-,-,2,1,2,1,4,1,1,3,2,1,2,5,6,33
270590 Olho d'�gua Grande,-,1,-,2,1,-,-,1,-,-,-,-,-,1,1,-,-,4,1,3,15
270600 Oliven�a,-,-,-,-,3,1,1,2,-,1,-,2,1,1,3,3,3,1,4,1,27
270610 Ouro Branco,-,1,3,-,-,1,1,1,1,-,-,1,1,1,2,-,2,1,1,4,21
270620 Palestina,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,1,2,1,8
270630 Palmeira dos �ndios,7,7,9,6,10,6,9,11,8,10,19,24,19,15,32,44,43,36,36,36,387
270640 P�o de A��car,2,2,2,-,4,4,3,6,3,1,-,3,2,3,6,6,2,8,5,6,68
270642 Pariconha,-,-,1,-,-,-,-,1,-,-,3,-,-,1,-,1,1,-,2,1,11
270644 Paripueira,1,-,3,-,-,-,2,-,3,3,4,4,5,4,5,3,6,2,6,1,52
270650 Passo de Camaragibe,1,1,-,-,1,-,1,1,-,-,3,1,1,2,3,2,4,8,5,7,41
270660 Paulo Jacinto,1,-,1,-,-,1,-,2,-,-,1,-,1,-,1,7,3,3,4,1,26
270670 Penedo,11,11,10,13,5,3,15,16,4,5,6,10,21,26,24,36,21,13,32,27,309
270680 Pia�abu�u,-,2,4,4,3,2,4,5,8,3,3,5,4,5,7,8,5,9,20,4,105
270690 Pilar,8,6,4,12,4,9,9,12,13,11,13,22,30,20,26,32,38,34,24,20,347
270700 Pindoba,2,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,-,1,-,7
270710 Piranhas,1,3,1,3,1,1,3,9,3,2,2,13,11,7,15,5,6,11,6,8,111
270720 Po�o das Trincheiras,1,-,-,-,2,1,-,-,2,2,1,1,1,2,2,3,2,1,3,2,26
270730 Porto Calvo,9,9,4,6,-,3,1,7,9,6,8,9,4,2,3,7,13,8,12,13,133
270740 Porto de Pedras,4,1,1,-,-,1,-,2,-,-,1,1,-,-,-,-,2,2,5,-,20
270750 Porto Real do Col�gio,2,1,2,3,6,3,3,2,1,-,2,4,4,8,7,5,5,10,3,4,75
270760 Quebrangulo,-,1,1,3,2,1,2,2,-,2,1,-,2,3,6,2,-,4,-,4,36
270770 Rio Largo,13,11,7,6,5,15,31,26,17,27,42,47,45,23,34,71,70,56,48,36,630
270780 Roteiro,3,-,-,-,1,-,-,1,1,3,2,-,2,3,1,-,2,2,6,1,28
270790 Santa Luzia do Norte,-,1,1,-,1,-,1,2,-,1,1,2,1,5,3,1,1,5,3,2,31
270800 Santana do Ipanema,8,3,5,-,4,3,-,3,3,7,12,18,11,21,15,25,23,31,36,21,249
270810 Santana do Munda�,-,2,2,-,2,2,-,1,2,4,1,4,-,1,-,2,3,2,3,2,33
270820 S�o Br�s,-,-,-,1,-,-,-,2,-,-,-,-,2,-,1,2,-,1,1,1,11
270830 S�o Jos� da Laje,7,2,6,-,2,2,5,6,1,7,7,4,6,7,11,14,12,11,22,14,146
270840 S�o Jos� da Tapera,3,1,6,3,5,2,9,10,2,7,3,9,4,12,8,4,8,16,8,16,136
270850 S�o Lu�s do Quitunde,5,1,2,2,2,2,1,-,5,2,4,4,4,5,6,8,8,11,6,16,94
270860 S�o Miguel dos Campos,10,18,9,4,6,5,10,11,5,12,20,26,28,24,39,56,38,30,43,29,423
270870 S�o Miguel dos Milagres,-,1,-,-,-,-,1,-,1,1,3,-,1,2,-,2,2,2,2,2,20
270880 S�o Sebasti�o,3,1,4,5,5,7,5,7,3,4,9,14,20,23,17,17,15,29,21,15,224
270890 Satuba,3,2,5,-,1,5,6,2,6,5,5,10,2,12,4,13,13,20,9,2,125
270895 Senador Rui Palmeira,-,1,1,1,1,-,-,-,1,2,4,2,2,2,3,1,1,2,1,3,28
270900 Tanque d'Arca,-,-,-,-,-,-,3,1,-,1,1,-,1,1,1,3,-,-,6,-,18
270910 Taquarana,2,1,2,1,1,-,3,4,2,5,3,-,2,8,9,9,3,6,7,8,76
270915 Teot�nio Vilela,2,1,3,1,2,5,8,16,2,6,11,29,30,24,25,25,17,24,27,20,278
270920 Traipu,1,1,3,1,1,4,-,2,1,3,-,7,9,11,6,6,7,1,7,5,76
270930 Uni�o dos Palmares,14,11,5,3,7,14,8,15,13,19,36,21,33,30,30,34,31,38,28,28,418
270940 Vi�osa,-,2,1,2,2,2,4,2,1,-,5,3,9,8,6,7,17,10,17,17,115
280010 Amparo de S�o Francisco,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,3
280020 Aquidab�,4,1,-,-,-,2,-,-,1,2,2,-,1,1,1,1,1,2,5,5,29
280030 Aracaju,81,52,45,102,136,218,191,175,167,139,168,128,141,166,147,194,264,276,313,386,3489
280040 Arau�,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,3,1,2,2,3,14
280050 Areia Branca,1,1,1,-,-,1,3,-,-,-,4,3,3,2,4,7,7,11,12,13,73
280060 Barra dos Coqueiros,-,-,2,2,3,5,3,4,3,4,8,6,8,11,11,10,6,16,13,28,143
280067 Boquim,-,-,1,-,3,4,5,3,1,4,-,3,2,3,-,-,5,11,12,10,67
280070 Brejo Grande,-,-,-,-,-,-,-,-,1,1,1,2,1,1,2,-,2,1,1,2,15
280100 Campo do Brito,-,-,-,1,-,2,4,1,1,-,2,-,3,4,1,3,5,2,3,3,35
280110 Canhoba,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2
280120 Canind� de S�o Francisco,1,-,2,3,5,6,3,6,7,1,2,4,3,6,2,9,8,8,13,11,100
280130 Capela,2,1,2,1,4,1,6,5,6,4,-,3,2,3,-,2,3,1,3,16,65
280140 Carira,-,-,-,-,1,5,3,2,-,-,4,1,3,4,3,2,7,9,5,8,57
280150 Carm�polis,-,1,-,-,1,1,2,1,-,-,1,1,-,-,-,-,5,3,3,1,20
280160 Cedro de S�o Jo�o,-,1,-,-,-,-,-,1,-,-,1,-,1,-,2,-,1,1,-,2,10
280170 Cristin�polis,-,-,-,1,-,1,2,-,-,1,1,2,2,1,1,1,1,1,2,4,21
280190 Cumbe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,3
280200 Divina Pastora,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,1,1,1,-,-,7
280210 Est�ncia,6,5,6,9,8,9,21,12,9,16,16,10,15,23,17,11,21,26,41,23,304
280220 Feira Nova,-,-,-,-,2,-,-,-,1,-,1,-,1,-,1,-,-,4,-,2,12
280230 Frei Paulo,-,-,1,1,1,-,-,1,1,2,1,-,-,2,2,-,-,2,2,2,18
280240 Gararu,-,1,-,1,-,-,-,-,1,-,3,-,1,-,1,-,1,2,1,5,17
280250 General Maynard,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
280260 Gracho Cardoso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,4
280270 Ilha das Flores,-,-,-,1,-,1,4,-,-,1,4,3,1,-,1,-,4,5,1,1,27
280280 Indiaroba,1,-,-,2,1,-,1,-,1,1,1,1,3,-,-,2,1,3,5,3,26
280290 Itabaiana,18,13,3,22,22,21,29,27,15,23,38,33,36,35,33,44,49,41,40,80,622
280300 Itabaianinha,3,1,2,1,3,1,2,3,2,7,3,9,4,7,9,5,8,12,8,10,100
280310 Itabi,-,-,-,1,-,1,1,-,-,-,1,3,-,-,-,-,-,-,-,-,7
280320 Itaporanga d'Ajuda,-,-,-,1,-,3,2,1,-,3,4,1,1,7,5,6,11,8,15,16,84
280330 Japaratuba,-,1,-,-,3,1,-,-,-,3,4,2,2,5,3,-,4,2,7,10,47
280340 Japoat�,3,1,-,-,-,4,2,1,-,4,-,1,-,3,4,1,1,2,4,11,42
280350 Lagarto,1,4,1,13,11,7,14,13,15,11,19,22,11,13,29,35,16,11,33,31,310
280360 Laranjeiras,1,3,1,3,2,1,2,3,2,2,6,11,3,7,9,11,8,13,22,17,127
280370 Macambira,1,-,-,1,-,-,-,-,2,-,1,-,-,-,-,-,1,-,1,-,7
280380 Malhada dos Bois,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,4,1,2,9
280390 Malhador,1,1,-,-,-,-,4,-,1,1,1,-,1,1,-,1,2,6,3,7,30
280400 Maruim,-,-,1,1,-,-,5,1,3,-,3,-,5,2,2,1,3,8,7,11,53
280410 Moita Bonita,-,-,-,2,-,-,2,1,1,2,-,1,-,-,-,4,2,5,10,7,37
280420 Monte Alegre de Sergipe,4,-,-,3,1,-,1,-,1,2,1,1,1,4,4,6,-,1,2,4,36
280430 Muribeca,-,-,-,1,-,-,-,1,-,-,1,-,1,1,-,1,-,-,-,-,6
280440 Ne�polis,1,3,-,2,2,5,2,-,1,2,-,3,3,4,7,4,9,6,3,10,67
280445 Nossa Senhora Aparecida,1,1,-,2,-,1,2,-,-,-,-,-,1,1,1,2,-,4,8,4,28
280450 Nossa Senhora da Gl�ria,1,3,1,2,2,4,3,5,6,3,3,6,3,6,6,8,3,4,5,11,85
280460 Nossa Senhora das Dores,-,-,1,-,4,5,1,5,1,-,2,1,9,12,3,3,1,9,18,16,91
280470 Nossa Senhora de Lourdes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,3
280480 Nossa Senhora do Socorro,3,7,8,17,26,25,33,31,19,33,42,34,36,41,45,41,66,74,72,118,771
280490 Pacatuba,1,1,-,-,-,1,1,-,-,1,1,1,-,1,1,2,4,1,-,4,20
280500 Pedra Mole,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,3
280510 Pedrinhas,1,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,1,1,1,9
280520 Pinh�o,-,-,-,-,2,1,-,-,1,1,1,-,-,2,-,1,-,1,1,1,12
280530 Pirambu,-,-,-,3,-,-,-,-,-,2,1,-,-,1,1,1,2,-,5,2,18
280540 Po�o Redondo,-,-,1,2,-,1,-,3,1,9,8,1,1,2,4,5,10,9,13,10,80
280550 Po�o Verde,-,-,-,-,-,2,-,2,1,1,2,5,2,4,2,7,10,5,5,10,58
280560 Porto da Folha,-,2,5,1,1,3,3,4,4,4,1,2,3,3,6,2,3,6,7,5,65
280570 Propri�,2,1,2,3,3,6,-,11,7,8,11,8,10,3,14,12,13,14,15,18,161
280580 Riach�o do Dantas,-,-,-,1,-,-,1,-,1,-,-,1,-,1,3,1,3,3,2,1,18
280590 Riachuelo,-,-,2,1,2,1,-,2,-,1,2,2,1,2,-,4,2,3,8,6,39
280600 Ribeir�polis,-,-,-,1,1,-,-,-,-,1,2,-,1,3,1,5,3,5,26,16,65
280610 Ros�rio do Catete,-,-,-,-,4,1,1,-,2,-,-,-,-,2,-,1,-,3,4,2,20
280620 Salgado,-,2,-,1,2,-,1,1,-,2,2,-,1,1,4,2,3,2,4,3,31
280630 Santa Luzia do Itanhy,-,-,1,2,2,-,-,-,-,1,1,-,-,2,1,2,2,-,4,4,22
280650 Santa Rosa de Lima,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4
280640 Santana do S�o Francisco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,2,5
280660 Santo Amaro das Brotas,-,-,-,-,-,2,-,1,-,1,-,1,1,1,3,1,3,5,9,6,34
280670 S�o Crist�v�o,5,3,4,7,9,10,17,9,11,12,17,14,20,26,24,35,20,34,42,53,372
280680 S�o Domingos,-,-,-,-,1,1,1,-,-,-,-,1,3,-,-,-,3,1,1,2,14
280690 S�o Francisco,-,-,1,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,2,-,6
280700 S�o Miguel do Aleixo,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,4
280710 Sim�o Dias,1,3,4,-,1,2,3,1,1,2,2,2,6,1,5,3,9,7,7,14,74
280720 Siriri,1,-,1,-,-,-,1,-,-,1,2,-,1,-,3,2,1,-,1,3,17
280730 Telha,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2,4
280740 Tobias Barreto,1,-,-,1,8,7,9,3,6,3,7,8,12,10,21,11,18,11,21,27,184
280750 Tomar do Geru,-,1,2,-,1,-,-,1,-,1,1,1,1,-,3,6,6,8,3,3,38
280760 Umba�ba,-,-,-,-,-,1,2,-,-,-,1,2,1,3,5,3,3,3,13,9,46
280000 Munic�pio ignorado - SE,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
290010 Aba�ra,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
290020 Abar�,1,1,1,3,2,6,5,2,3,4,1,2,7,2,5,4,8,4,3,5,69
290030 Acajutiba,2,-,-,1,-,1,-,2,4,1,-,2,2,4,4,8,2,3,7,5,48
290035 Adustina,-,-,-,-,1,-,1,1,1,-,-,-,-,3,1,1,1,1,5,1,17
290040 �gua Fria,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,2,2,-,7
290060 Aiquara,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3
290070 Alagoinhas,10,16,11,5,29,16,14,20,14,24,35,34,70,82,63,82,93,94,80,98,890
290080 Alcoba�a,1,1,1,1,-,1,2,-,2,-,2,2,1,3,-,7,10,8,13,6,61
290090 Almadina,1,-,-,-,-,1,-,-,-,1,-,-,1,3,1,1,1,-,-,1,11
