municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_1_a_3_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_4_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_5_a_7_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_8_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_9_e_10_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_11_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_12_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_13_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_14_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_15_anos_ou_mais,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_nao_determinados,codigo
Cabrobo,20443.0,3959.0,6447.0,3419.0,2946.0,923.0,822.0,1324.0,33.0,57.0,96.0,229.0,187.0,2603009.0
Cachoeirinha,13688.0,3701.0,3994.0,1717.0,2161.0,434.0,473.0,816.0,57.0,34.0,32.0,151.0,115.0,2603108.0
Caetes,18276.0,6097.0,6253.0,2329.0,1907.0,348.0,282.0,446.0,58.0,29.0,8.0,90.0,430.0,2603207.0
Calcado,9045.0,1888.0,3020.0,1497.0,1481.0,311.0,282.0,444.0,14.0,0.0,8.0,14.0,86.0,2603306.0
Calumbi,5555.0,1410.0,1849.0,940.0,698.0,156.0,144.0,185.0,24.0,0.0,8.0,29.0,109.0,2603405.0
Camaragibe,104542.0,11224.0,20588.0,14547.0,23403.0,8523.0,7881.0,13706.0,474.0,309.0,395.0,2224.0,1268.0,2603454.0
Camocim de Sao Felix,11937.0,3258.0,3653.0,1663.0,1815.0,428.0,319.0,450.0,30.0,30.0,26.0,114.0,150.0,2603504.0
Camutanga,6191.0,1450.0,1857.0,783.0,905.0,197.0,297.0,499.0,12.0,3.0,14.0,76.0,98.0,2603603.0
Canhotinho,19510.0,5689.0,6632.0,2508.0,2454.0,524.0,504.0,756.0,66.0,56.0,10.0,163.0,146.0,2603702.0
Capoeiras,15035.0,4293.0,4486.0,2050.0,2156.0,513.0,494.0,615.0,60.0,27.0,17.0,35.0,289.0,2603801.0
Carnaiba,13877.0,3238.0,3769.0,2214.0,2357.0,606.0,490.0,798.0,24.0,17.0,55.0,111.0,197.0,2603900.0
Carnaubeira da Penha,7571.0,2515.0,2415.0,1185.0,720.0,187.0,150.0,330.0,0.0,5.0,9.0,0.0,55.0,2603926.0
Carpina,51710.0,9012.0,11371.0,6906.0,9620.0,3231.0,3239.0,5651.0,183.0,259.0,187.0,1658.0,393.0,2604007.0
Caruaru,204112.0,31713.0,44907.0,29665.0,38916.0,13820.0,10603.0,23268.0,804.0,905.0,1037.0,7127.0,1349.0,2604106.0
Casinhas,10284.0,2476.0,3718.0,1647.0,1237.0,336.0,201.0,305.0,14.0,17.0,10.0,16.0,306.0,2604155.0
Catende,24369.0,5802.0,6429.0,2755.0,4009.0,1282.0,1045.0,2060.0,76.0,110.0,100.0,378.0,322.0,2604205.0
Cedro,7234.0,1256.0,2577.0,1008.0,1083.0,331.0,320.0,289.0,12.0,16.0,42.0,87.0,214.0,2604304.0
Cha de Alegria,8558.0,1638.0,2796.0,1233.0,1546.0,315.0,328.0,437.0,14.0,9.0,10.0,44.0,188.0,2604403.0
Cha Grande,14861.0,3638.0,5138.0,2150.0,2012.0,529.0,469.0,488.0,23.0,27.0,15.0,113.0,258.0,2604502.0
Condado,17014.0,3561.0,4704.0,2497.0,2766.0,728.0,703.0,1483.0,29.0,62.0,66.0,238.0,178.0,2604601.0
Correntes,13223.0,3579.0,3929.0,2021.0,1980.0,504.0,298.0,525.0,19.0,41.0,28.0,102.0,196.0,2604700.0
Cortes,9691.0,2673.0,3230.0,1234.0,1316.0,278.0,343.0,407.0,21.0,17.0,44.0,76.0,52.0,2604809.0
Cumaru,22183.0,7095.0,5271.0,3565.0,3613.0,629.0,672.0,722.0,31.0,19.0,27.0,153.0,387.0,2604908.0
Cupira,17665.0,5155.0,4928.0,2574.0,2417.0,853.0,448.0,801.0,41.0,10.0,19.0,81.0,337.0,2605004.0
Custodia,24388.0,5660.0,7591.0,3845.0,3214.0,1113.0,676.0,1258.0,103.0,86.0,55.0,290.0,495.0,2605103.0
Dormentes,11117.0,4019.0,2472.0,1758.0,1399.0,383.0,419.0,466.0,24.0,7.0,10.0,30.0,128.0,2605152.0
Escada,44990.0,8919.0,13235.0,6192.0,7295.0,2030.0,2236.0,4183.0,47.0,98.0,114.0,356.0,285.0,2605202.0
Exu,24689.0,6923.0,7223.0,3076.0,3465.0,999.0,981.0,1353.0,69.0,49.0,42.0,182.0,329.0,2605301.0
Feira Nova,14912.0,4111.0,4315.0,2341.0,2351.0,477.0,425.0,453.0,46.0,12.0,23.0,118.0,241.0,2605400.0
Fernando de Noronha,1655.0,48.0,250.0,155.0,352.0,160.0,126.0,358.0,0.0,2.0,20.0,94.0,91.0,2605459.0
Ferreiros,8567.0,1658.0,2697.0,1201.0,1606.0,281.0,342.0,574.0,8.0,9.0,27.0,56.0,110.0,2605509.0
Flores,16683.0,4953.0,4737.0,2503.0,2149.0,572.0,612.0,786.0,11.0,19.0,22.0,109.0,209.0,2605608.0
Floresta,18830.0,3148.0,4897.0,2842.0,3022.0,907.0,935.0,1989.0,87.0,106.0,96.0,584.0,216.0,2605707.0
Frei Miguelinho,10678.0,3110.0,3361.0,1695.0,1302.0,306.0,305.0,277.0,5.0,9.0,0.0,67.0,242.0,2605806.0
Gameleira,18341.0,5140.0,5435.0,2106.0,2731.0,659.0,780.0,927.0,35.0,42.0,15.0,105.0,364.0,2605905.0
Garanhuns,93618.0,15133.0,21474.0,12372.0,17571.0,6987.0,5725.0,8433.0,648.0,618.0,475.0,3468.0,714.0,2606002.0
Gloria do Goita,21438.0,4956.0,6709.0,2869.0,3858.0,754.0,597.0,1197.0,0.0,30.0,18.0,165.0,285.0,2606101.0
Goiana,56717.0,8498.0,15618.0,7578.0,10742.0,3019.0,3002.0,5622.0,306.0,251.0,183.0,1341.0,557.0,2606200.0
Granito,4716.0,1494.0,1366.0,604.0,682.0,166.0,173.0,171.0,14.0,0.0,5.0,25.0,14.0,2606309.0
Gravata,54078.0,10960.0,14377.0,8273.0,9353.0,2831.0,2177.0,4134.0,87.0,115.0,111.0,987.0,671.0,2606408.0
Iati,13298.0,4425.0,5125.0,1258.0,1468.0,243.0,297.0,233.0,8.0,17.0,8.0,20.0,195.0,2606507.0
Ibimirim,18236.0,5060.0,6141.0,2154.0,2162.0,605.0,456.0,763.0,15.0,21.0,22.0,128.0,709.0,2606606.0
